"Abbr11","Abbr12","Abbr1","Abbr2","Abbr3","Abbr4","NomLivre","NomLivreLower","DescriptionLivre","Abbr8","Testament1","Abbr10","Testament2"
"Gn","gn","Ge","ge","Gen","gen","Genèse","genèse","Livre de la Genèse","Gn","OLD","GEN","OLD"
"Ex","ex",,,,,"Exode","exode","Livre de l'Exode","Ex","OLD","EXO","OLD"
"Lv","lv","Lév","lév",,,"Lévitique","lévitique","Lévitique","Lv","OLD","LEV","OLD"
"Nb","nb","Nom","nom",,,"Nombres","nombres","Livre des Nombres","Nb","OLD","NUM","OLD"
"Dt","dt","Deut","deut",,,"Deutéronome","deutéronome","Deutéronome","Dt","OLD","DEU","OLD"
"Js","js","Jos","jos",,,"Josué","josué","Livre de Josué","Js","OLD","JOS","OLD"
"Jg","jg","Jug","jug",,,"Juges","juges","Livre des Juges","Jg","OLD","JDG","OLD"
"Rt","rt","Ru","ru",,,"Ruth","ruth","Livre de Ruth","Rt","OLD","RUT","OLD"
"1S","1s","1 S","1 s",,,"1 Samuel","1 samuel","Premier livre de Samuel","1S","OLD","1SA","OLD"
"2S","2s","2 S","2 s",,,"2 Samuel","2 samuel","Deuxième livre de Samuel","2S","OLD","2SA","OLD"
"1R","1r","1 R","1 r",,,"1 Rois","1 rois","Premier livre des Rois","1R","OLD","1KI","OLD"
"2R","2r","2 R","2 r",,,"2 Rois","2 rois","Deuxième livre des Rois","2R","OLD","2KI","OLD"
"1Ch","1ch","1 Ch","1 ch",,,"1 Chroniques","1 chroniques","Premier livre des Chroniques","1Ch","OLD","1CH","OLD"
"2Ch","2ch","2 Ch","2 ch",,,"2 Chroniques","2 chroniques","Deuxième livre des Chroniques","2Ch","OLD","2CH","OLD"
"Esd","esd",,,,,"Esdras","esdras","Livre d'Esdras","Esd","OLD","EZR","OLD"
"Ne","ne","Né","né",,,"Néhémie","néhémie","Livre de Néhémie","Ne","OLD","NEH","OLD"
"Est","est",,,,,"Esther","esther","Livre d'Esther","Est","OLD","EST","OLD"
"Jb","jb","Job","job",,,"Job","job","Livre de Job","Jb","OLD","JOB","OLD"
"Ps","ps",,,,,"Psaumes","psaumes","Livre des Psaumes","Ps","OLD","PSA","OLD"
"Pr","pr",,,,,"Proverbes","proverbes","Livre des Proverbes","Pr","OLD","PRO","OLD"
"Ec","ec","Ecc","ecc",,,"Ecclésiaste","ecclésiaste","Ecclésiaste","Ec","OLD","ECC","OLD"
"Ct","ct","Cant","cant","Cantique","cantique","Cantique des cantiques","cantique des cantiques","Cantique des cantiques","Ct","OLD","SON","OLD"
"Es","es","És","és","Is","is","Ésaïe","ésaïe","Livre d'Isaïe","Es","OLD","ISA","OLD"
"Jr","jr","Jé","jé",,,"Jérémie","jérémie","Livre de Jérémie","Jr","OLD","JER","OLD"
"La","la","Lam","lam",,,"Lamentations","lamentations","Livre des Lamentations","La","OLD","LAM","OLD"
"Ez","ez","Éz","éz",,,"Ézéchiel","ézéchiel","Livre d'Ézéchiel","Ez","OLD","EZE","OLD"
"Da","da","Dn","dn",,,"Daniel","daniel","Livre de Daniel","Da","OLD","DAN","OLD"
"Os","os",,,,,"Osée","osée","Livre d'Osée","Os","OLD","HOS","OLD"
"Jl","jl","Joe","joe",,,"Joël","joël","Livre de Joël","Jl","OLD","JOE","OLD"
"Am","am",,,,,"Amos","amos","Livre d'Amos","Am","OLD","AMO","OLD"
"Ab","ab","Abd","abd",,,"Abdias","abdias","Livre d'Abdias","Ab","OLD","OBA","OLD"
