Abbr11,Abbr12,Abbr1,Abbr2,Abbr3,Abbr4,NomLivre,NomLivreLower,DescriptionLivre,Abbr8,Testament1,Abbr10,Testament2
1 M,1 m,1M,1m,1 Macchabées,1 macchabées,1Macchabées,1macchabées,Premier livre des Maccabées,1M,OLD,MAT,NEW
1Ch,1ch,1 Ch,1 ch,1 Chroniques,1 Chroniques,1 Chroniques,1 chroniques,Premier livre des Chroniques,1Ch,OLD,1CH,OLD
1CH,1CH,1 Ch,1 ch,1 Chroniques,1 Chroniques,1 Chroniques,1 chroniques,Premier livre des Chroniques,1Ch,OLD,1CH,OLD
1Co,1co,1 Co,1 co,1 Cor,1 cor,1 Corinthiens,1 corinthiens,Première épître aux Corinthiens,1Co,NEW,1CO,NEW
1CO,1CO,1 Co,1 co,1 Cor,1 cor,1 Corinthiens,1 corinthiens,Première épître aux Corinthiens,1Co,NEW,1CO,NEW
1Jn,1jn,1 Jn,1 jn,1 Jean,1 Jean,1 Jean,1 jean,Première épître de Jean,1Jn,NEW,1JO,NEW
1JO,1JO,1 Jn,1 jn,1 Jean,1 Jean,1 Jean,1 jean,Première épître de Jean,1Jn,NEW,1JO,NEW
1KI,1KI,1 R,1 r,,,1 Rois,1 rois,Premier livre des Rois,1R,OLD,1KI,OLD
1P,1p,1 P,1 p,1 Pi,1 pi,1 Pierre,1 pierre,Première épître de Pierre,1P,NEW,1PE,NEW
1PE,1PE,1 P,1 p,1 Pi,1 pi,1 Pierre,1 pierre,Première épître de Pierre,1P,NEW,1PE,NEW
1R,1r,1 R,1 r,,,1 Rois,1 rois,Premier livre des Rois,1R,OLD,1KI,OLD
1S,1s,1 S,1 s,,,1 Samuel,1 samuel,Premier livre de Samuel,1S,OLD,1SA,OLD
1SA,1SA,1 S,1 s,,,1 Samuel,1 samuel,Premier livre de Samuel,1S,OLD,1SA,OLD
1Th,1th,1 Th,1 th,1 Thess,1 thess,1 Thessaloniciens,1 thessaloniciens,Première épître aux Thessaloniciens,1Th,NEW,1TH,NEW
1TH,1TH,1 Th,1 th,1 Thess,1 thess,1 Thessaloniciens,1 thessaloniciens,Première épître aux Thessaloniciens,1Th,NEW,1TH,NEW
1Ti,1ti,1 Ti,1 ti,1 Tm,1 tm,1 Timothée,1 timothée,Première épître à Timothée,1Ti,NEW,1TI,NEW
